Day,Date,Time,Home,Home Score,Away Score,Away,Attendance,Venue
Sun,3/10/2019,17:00 (16:00),Atlanta,1,1,FC Cincinnati,"70,382",Mercedes-Benz Stadium
Sun,3/17/2019,19:00 (18:00),Atlanta,1,1,Philadelphia,"42,651",Mercedes-Benz Stadium
Sat,4/20/2019,16:00 (15:00),Atlanta,1,2,FC Dallas,"43,351",Mercedes-Benz Stadium
Sat,4/27/2019,18:00 (17:00),Atlanta,1,0,Colorado,"43,005",Mercedes-Benz Stadium
Wed,5/8/2019,19:00 (18:00),Atlanta,2,0,Toronto FC,"42,537",Mercedes-Benz Stadium
Sun,5/12/2019,14:30 (13:30),Atlanta,1,0,Orlando City,"68,152",Mercedes-Benz Stadium
Wed,5/29/2019,19:00 (18:00),Atlanta,3,0,Minnesota,"42,703",Mercedes-Benz Stadium
Sat,6/1/2019,18:00 (17:00),Atlanta,2,0,Chicago,"67,502",Mercedes-Benz Stadium
Sat,6/29/2019,18:00 (17:00),Atlanta,2,1,Montreal,"44,627",Mercedes-Benz Stadium
Sun,7/7/2019,14:00 (13:00),Atlanta,3,3,NY Red Bulls,"68,077",Mercedes-Benz Stadium
Wed,7/17/2019,19:00 (18:00),Atlanta,5,0,Houston,"42,557",Mercedes-Benz Stadium
Sun,7/21/2019,16:00 (15:00),Atlanta,2,0,D.C. United,"44,405",Mercedes-Benz Stadium
Sat,8/3/2019,17:00 (16:00),Atlanta,3,0,LA Galaxy,"72,548",Mercedes-Benz Stadium
Sun,8/11/2019,15:55 (14:55),Atlanta,2,1,NYCFC,"44,052",Mercedes-Benz Stadium
Sat,9/14/2019,19:00 (18:00),Atlanta,1,3,Columbus,"68,046",Mercedes-Benz Stadium
Sat,9/21/2019,15:30 (14:30),Atlanta,3,1,San Jose,"43,451",Mercedes-Benz Stadium
Sun,10/6/2019,16:00 (15:00),Atlanta,3,1,New England,"44,617",Mercedes-Benz Stadium
Sun,3/11/2018,15:00 (14:00),Atlanta,3,1,D.C. United,"72,035",Mercedes-Benz Stadium
Sat,3/17/2018,19:30 (18:30),Atlanta,4,1,Vancouver,"45,003",Mercedes-Benz Stadium
Sat,4/7/2018,17:00 (16:00),Atlanta,5,0,Los Angeles FC,"45,207",Mercedes-Benz Stadium
Sun,4/15/2018,18:00 (17:00),Atlanta,2,2,NYCFC,"45,001",Mercedes-Benz Stadium
Sat,4/28/2018,13:00 (12:00),Atlanta,4,1,Montreal,"45,039",Mercedes-Benz Stadium
Wed,5/9/2018,19:30 (18:30),Atlanta,0,2,Sporting KC,"44,696",Mercedes-Benz Stadium
Sun,5/20/2018,19:00 (18:00),Atlanta,1,3,NY Red Bulls,"45,089",Mercedes-Benz Stadium
Sat,6/2/2018,19:30 (18:30),Atlanta,3,1,Philadelphia,"45,140",Mercedes-Benz Stadium
Sun,6/24/2018,16:30 (15:30),Atlanta,1,1,Portland,"45,116",Mercedes-Benz Stadium
Sat,6/30/2018,19:00 (18:00),Atlanta,4,0,Orlando City,"71,932",Mercedes-Benz Stadium
Sun,7/15/2018,14:00 (13:00),Atlanta,1,1,Seattle,"72,243",Mercedes-Benz Stadium
Sat,7/21/2018,15:30 (14:30),Atlanta,3,1,D.C. United,"45,087",Mercedes-Benz Stadium
Sat,8/4/2018,16:00 (15:00),Atlanta,2,2,Toronto FC,"45,191",Mercedes-Benz Stadium
Sun,8/19/2018,16:00 (15:00),Atlanta,3,1,Columbus,"45,303",Mercedes-Benz Stadium
Sat,9/22/2018,19:00 (18:00),Atlanta,2,0,Real Salt Lake,"72,017",Mercedes-Benz Stadium
Sat,10/6/2018,15:30 (14:30),Atlanta,2,1,New England,"45,122",Mercedes-Benz Stadium
Sun,10/21/2018,15:00 (14:00),Atlanta,2,1,Chicago,"71,812",Mercedes-Benz Stadium
Sat,3/9/2019,12:00,Chicago,1,1,Orlando City,"11,041",SeatGeek Stadium
Sat,3/16/2019,12:00,Chicago,2,4,Seattle,"10,032",SeatGeek Stadium
Sat,3/30/2019,12:00,Chicago,1,0,NY Red Bulls,"12,013",SeatGeek Stadium
Fri,4/12/2019,19:30,Chicago,1,1,Vancouver,"10,439",SeatGeek Stadium
Sat,4/20/2019,12:00,Chicago,4,1,Colorado,"12,967",SeatGeek Stadium
Wed,5/8/2019,19:00,Chicago,5,0,New England,"6,074",SeatGeek Stadium
Sat,5/11/2019,19:00,Chicago,2,0,Minnesota,"11,531",SeatGeek Stadium
Sat,5/25/2019,14:30,Chicago,1,1,NYCFC,"10,986",SeatGeek Stadium
Sat,6/22/2019,19:00,Chicago,1,1,Real Salt Lake,"15,609",SeatGeek Stadium
Wed,7/3/2019,19:00,Chicago,5,1,Atlanta,"13,476",SeatGeek Stadium
Sat,7/13/2019,19:00,Chicago,1,2,FC Cincinnati,"13,127",SeatGeek Stadium
Wed,7/17/2019,19:00,Chicago,2,2,Columbus,"7,482",SeatGeek Stadium
Sat,7/27/2019,19:00,Chicago,0,0,D.C. United,"18,232",SeatGeek Stadium
Sat,8/10/2019,20:00,Chicago,3,2,Montreal,"11,002",SeatGeek Stadium
Sat,8/17/2019,19:00,Chicago,2,0,Philadelphia,"14,883",SeatGeek Stadium
Sat,9/14/2019,14:30,Chicago,4,0,FC Dallas,"12,874",SeatGeek Stadium
Sun,9/29/2019,16:00,Chicago,2,2,Toronto FC,"17,748",SeatGeek Stadium
Sat,3/10/2018,17:00,Chicago,3,4,Sporting KC,"14,021",SeatGeek Stadium
Sat,3/31/2018,17:00,Chicago,2,2,Portland,"13,678",SeatGeek Stadium
Sat,4/7/2018,19:30,Chicago,1,0,Columbus,"11,023",SeatGeek Stadium
Sat,4/14/2018,14:30,Chicago,0,1,LA Galaxy,"21,915",SeatGeek Stadium
Sat,5/5/2018,19:30,Chicago,1,2,Atlanta,"15,024",SeatGeek Stadium
Wed,5/9/2018,19:30,Chicago,1,0,Montreal,"10,067",SeatGeek Stadium
Sun,5/20/2018,15:00,Chicago,2,3,Houston,"14,206",SeatGeek Stadium
Sat,6/2/2018,19:30,Chicago,2,1,San Jose,"14,138",SeatGeek Stadium
Sat,6/9/2018,19:30,Chicago,1,1,New England,"14,415",SeatGeek Stadium
Sat,6/30/2018,19:00,Chicago,3,2,NYCFC,"15,204",SeatGeek Stadium
Wed,7/11/2018,19:30,Chicago,3,4,Philadelphia,"12,008",SeatGeek Stadium
Sat,7/21/2018,18:00,Chicago,1,2,Toronto FC,"15,177",SeatGeek Stadium
Sat,8/11/2018,19:30,Chicago,0,1,NY Red Bulls,"18,064",SeatGeek Stadium
Thu,8/23/2018,18:00,Chicago,1,1,Columbus,"8,551",SeatGeek Stadium
Sun,9/16/2018,16:00,Chicago,4,0,Orlando City,"16,287",SeatGeek Stadium
Sat,9/29/2018,14:30,Chicago,3,1,Los Angeles FC,"18,471",SeatGeek Stadium
Sun,10/28/2018,15:30,Chicago,0,0,D.C. United,"19,459",SeatGeek Stadium
Sat,3/2/2019,16:00 (17:00),Colorado,3,3,Portland,"12,717",Dick's Sporting Goods Park
Sun,3/17/2019,19:00 (20:00),Colorado,1,1,Sporting KC,"11,037",Dick's Sporting Goods Park
Sat,3/30/2019,19:00 (20:00),Colorado,1,4,Houston,"11,061",Dick's Sporting Goods Park
Sat,4/13/2019,19:00 (20:00),Colorado,2,3,D.C. United,"15,094",Dick's Sporting Goods Park
Fri,5/3/2019,19:00 (20:00),Colorado,2,3,Vancouver,"10,794",Dick's Sporting Goods Park
