Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2/29/2020,13:00 (12:00),D.C. United,,Colorado,,Audi Field,,,
Sat,2/29/2020,15:00 (14:00),Montreal,,New England,,Olympic Stadium,,,
Sat,2/29/2020,14:30,Houston,,LA Galaxy,,BBVA Compass Stadium,,,
Sat,2/29/2020,14:30 (16:30),San Jose,,Toronto FC,,Avaya Stadium,,,
Sat,2/29/2020,17:00,FC Dallas,,Philadelphia,,Toyota Stadium,,,
Sat,2/29/2020,18:00 (17:00),Orlando City,,Real Salt Lake,,Exploria Stadium,,,
Sat,2/29/2020,19:00,Nashville,,Atlanta,,Nissan Stadium,,,
Sat,2/29/2020,19:30 (21:30),Vancouver,,Sporting KC,,BC Place,,,
Sun,3/1/2020,12:30 (11:30),Columbus,,NYCFC,,MAPFRE Stadium,,,
Sun,3/1/2020,13:00 (12:00),NY Red Bulls,,FC Cincinnati,,Red Bull Arena,,,
Sun,3/1/2020,12:00 (14:00),Seattle,,Chicago,,CenturyLink Field,,,
Sun,3/1/2020,14:30 (16:30),Los Angeles FC,,Miami,,Banc of California Stadium,,,
Sun,3/1/2020,16:30 (18:30),Portland,,Minnesota,,Providence Park,,,
Sat,3/7/2020,13:30 (12:30),New England,,Chicago,,Gillette Stadium,,,
Sat,3/7/2020,12:00 (13:00),Real Salt Lake,,NY Red Bulls,,Rio Tinto Stadium,,,
Sat,3/7/2020,14:00,FC Dallas,,Montreal,,Toyota Stadium,,,
Sat,3/7/2020,15:30 (14:30),D.C. United,,Miami,,Audi Field,,,
Sat,3/7/2020,17:00 (16:00),Toronto FC,,NYCFC,,BMO Field,,,
Sat,3/7/2020,19:00 (18:00),Atlanta,,FC Cincinnati,,Mercedes-Benz Stadium,,,
Sat,3/7/2020,17:00 (19:00),San Jose,,Minnesota,,Avaya Stadium,,,
Sat,3/7/2020,19:30,Sporting KC,,Houston,,Children's Mercy Park,,,
Sat,3/7/2020,19:00 (20:00),Colorado,,Orlando City,,Dick's Sporting Goods Park,,,
Sat,3/7/2020,19:00 (21:00),Seattle,,Columbus,,CenturyLink Field,,,
Sat,3/7/2020,19:00 (21:00),LA Galaxy,,Vancouver,,Dignity Health Sports Park,,,
Sun,3/8/2020,16:00 (18:00),Portland,,Nashville,,Providence Park,,,
Sun,3/8/2020,19:30 (21:30),Los Angeles FC,,Philadelphia,,Banc of California Stadium,,,
