"Away","Day","Date","Time","Home","Score","Attendance","Venue","Referee","Match.Report","Notes","Weekend","Hour","x","Attendance_linear","Attendance_random_forest"
"Atlanta","Sun","4/5/2020","17:00 (16:00)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,17,0,27442.3181818182,27683.233634555
"Chicago","Sat","7/25/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,1,27513.2727272727,27179.7660032058
"Columbus","Sun","7/19/2020","20:00 (19:00)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,20,0,27855.7727272727,27663.3686443091
"D.C. United","Sat","3/14/2020","17:30 (16:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,17,0,27442.3181818182,27683.233634555
"FC Dallas","Sat","6/27/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,0,27717.9545454545,27498.0161157488
"Los Angeles FC","Wed","8/12/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,0,19,0,26608.7272727273,26763.3575467511
"Miami","Wed","7/1/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,0,19,0,26608.7272727273,26763.3575467511
"Minnesota","Sat","9/26/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,0,27717.9545454545,27498.0161157488
"Montreal","Sat","8/29/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,2,27308.5909090909,27018.7152956911
"Nashville","Sat","5/30/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,0,27717.9545454545,27498.0161157488
"New England","Sat","5/9/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,1,27513.2727272727,27179.7660032058
"NY Red Bulls","Wed","5/6/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,0,19,0,26608.7272727273,26763.3575467511
"NYCFC","Sat","6/20/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,0,27717.9545454545,27498.0161157488
"Orlando City","Sat","8/1/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,0,27717.9545454545,27498.0161157488
"Philadelphia","Sat","9/19/2020","19:30 (18:30)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,19,0,27717.9545454545,27498.0161157488
"San Jose","Sun","4/26/2020","17:00 (16:00)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,17,0,27442.3181818182,27683.233634555
"Toronto FC","Sat","3/21/2020","15:00 (14:00)","FC Cincinnati",NA,NA,"Nippert Stadium",NA,NA,NA,1,15,0,27166.6818181818,27246.472546987
